City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Opochka,RU,2022-12-15 17:24:20,56.7105,28.6617,17.37,98,100,0.85
151,Nikolskoye,RU,2022-12-15 17:24:20,59.7035,30.7861,15.69,95,55,5.97
152,Okhotsk,RU,2022-12-15 17:24:21,59.3833,143.3,-2.7,67,100,30.53
153,Meulaboh,ID,2022-12-15 17:24:21,4.1363,96.1285,76.84,89,90,6.76
154,Mar Del Plata,AR,2022-12-15 17:24:22,-38.0023,-57.5575,73.83,57,0,16.11
155,Tortoli,IT,2022-12-15 17:24:22,39.9256,9.6572,64.22,55,20,12.66
156,Teknaf,BD,2022-12-15 17:24:23,20.8624,92.3058,66.31,64,73,8.03
157,Ketchikan,US,2022-12-15 17:24:23,55.3422,-131.6461,37.38,100,100,4.61
158,Ahuatempan,MX,2022-12-15 17:24:24,18.4167,-98.0167,67.8,34,1,3.53
159,Norman Wells,CA,2022-12-15 17:24:24,65.282,-126.8329,3.24,85,75,2.3
160,Thompson,CA,2022-12-15 17:24:24,55.7435,-97.8558,19.56,93,100,4.61
161,Bako,ET,2022-12-15 17:24:25,5.7833,36.5667,68.86,59,71,3.36
162,Clyde River,CA,2022-12-15 17:24:26,70.4692,-68.5914,12.43,79,40,29.93
163,Aklera,IN,2022-12-15 17:24:26,24.4167,76.5667,66.07,44,88,4.27
164,Cuamba,MZ,2022-12-15 17:24:26,-14.8031,36.5372,73.62,86,68,2.46
165,Saint-Philippe,RE,2022-12-15 17:24:27,-21.3585,55.7679,78.39,86,91,13.96
166,Kaitangata,NZ,2022-12-15 17:24:27,-46.2817,169.8464,52.3,98,47,3.27
167,Port Hedland,AU,2022-12-15 17:24:27,-20.3167,118.5667,80.65,61,0,11.5
168,Flin Flon,CA,2022-12-15 17:24:28,54.7682,-101.865,15.64,86,75,13.8
169,Wau,SS,2022-12-15 17:24:28,7.7029,27.9953,84.31,21,17,5.1
170,Taoudenni,ML,2022-12-15 17:24:29,22.6783,-3.9836,86.97,15,0,4.07
171,Lavrentiya,RU,2022-12-15 17:24:29,65.5833,-171.0,-6.39,88,6,4.76
172,Paamiut,GL,2022-12-15 17:24:30,61.994,-49.6678,22.12,63,92,6.76
173,Glinka,RU,2022-12-15 17:24:30,54.6404,32.8781,27.14,95,100,14.97
174,Havelock,US,2022-12-15 17:21:02,34.8791,-76.9013,69.75,90,100,9.22
175,Homer,US,2022-12-15 17:24:30,59.6425,-151.5483,33.67,92,100,5.01
176,Thunder Bay,CA,2022-12-15 17:20:36,48.4001,-89.3168,33.78,100,100,19.57
177,Burns Lake,CA,2022-12-15 17:24:31,54.2331,-125.7533,4.42,98,100,2.08
178,Poum,NC,2022-12-15 17:24:31,-20.2333,164.0167,78.57,69,0,4.81
179,Pevek,RU,2022-12-15 17:24:31,69.7008,170.3133,-35.05,98,19,2.42
180,Ponta Do Sol,PT,2022-12-15 17:24:32,32.6667,-17.1,67.71,72,78,17.29
181,Saskylakh,RU,2022-12-15 17:25:32,71.9167,114.0833,-25.89,100,100,3.15
182,Orocue,CO,2022-12-15 17:25:33,4.7912,-71.3354,90.81,46,38,11.9
183,Broome,US,2022-12-15 17:25:33,42.2506,-75.833,34.7,84,100,19.57
184,Imbituba,BR,2022-12-15 17:25:33,-28.24,-48.6703,78.93,58,0,18.52
185,Manaure,CO,2022-12-15 17:25:34,11.7751,-72.4445,85.8,61,20,23.53
186,Mehamn,NO,2022-12-15 17:25:34,71.0357,27.8492,33.75,86,75,28.77
187,Luanda,AO,2022-12-15 17:25:34,-8.8368,13.2343,79.48,78,25,14.25
188,Paso De Los Toros,UY,2022-12-15 17:25:34,-32.8167,-56.5167,85.96,31,82,15.5
189,Itarema,BR,2022-12-15 17:25:35,-2.9248,-39.9167,87.33,54,100,14.94
190,Rawson,AR,2022-12-15 17:25:35,-43.3002,-65.1023,71.33,27,0,6.64
191,Nishihara,JP,2022-12-15 17:25:36,26.1842,127.7558,67.28,77,100,16.11
192,Walvis Bay,NA,2022-12-15 17:25:36,-22.9575,14.5053,68.95,83,46,10.36
193,Ilulissat,GL,2022-12-15 17:25:36,69.2167,-51.1,26.62,93,75,16.11
194,Bandarbeyla,SO,2022-12-15 17:25:21,9.4942,50.8122,77.22,75,0,21.59
195,Gunjur,GM,2022-12-15 17:25:37,13.2019,-16.7339,86.77,34,7,10.54
196,Mount Isa,AU,2022-12-15 17:25:37,-20.7333,139.5,76.77,13,64,10.36
197,Zhigansk,RU,2022-12-15 17:25:38,66.7697,123.3711,-46.34,100,68,0.38
198,Kendari,ID,2022-12-15 17:25:38,-3.945,122.4989,76.03,92,99,3.13
199,Catanzaro,IT,2022-12-15 17:25:38,38.8908,16.5987,63.75,79,96,0.47
200,Bethel,US,2022-12-15 17:25:39,41.3712,-73.414,38.01,76,100,5.75
201,Rocky Mountain House,CA,2022-12-15 17:25:39,52.3668,-114.9188,12.31,92,96,5.75
202,Lashio,MM,2022-12-15 17:25:39,22.9333,97.75,57.29,98,1,1.1
203,Port Hardy,CA,2022-12-15 17:25:40,50.6996,-127.4199,33.98,100,75,4.61
204,Denpasar,ID,2022-12-15 17:25:40,-8.65,115.2167,78.46,94,20,4.61
205,Nakamura,JP,2022-12-15 17:25:41,32.9833,132.9333,35.11,79,0,5.26
206,Meiganga,CM,2022-12-15 17:25:41,6.5167,14.3,78.85,24,1,4.59
207,Turka,UA,2022-12-15 17:25:41,49.1541,23.0297,27.79,96,100,3.11
208,Kotaparh,IN,2022-12-15 17:25:42,19.15,82.35,69.1,60,2,4.43
209,Deputatskiy,RU,2022-12-15 17:25:42,69.3,139.9,-35.54,98,48,1.01
