City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
132,Chapais,CA,49.7834,-74.8492,24.58,89,10,11.27,clear sky
133,Meridian,US,43.6121,-116.3915,33.15,72,0,12.66,clear sky
134,Cherskiy,RU,68.75,161.3,-34.35,95,75,2.24,broken clouds
135,Fukagawa,JP,43.7081,142.0392,20.17,78,54,13.31,light snow
136,Iquique,CL,-20.2208,-70.1431,71.64,75,25,3.18,scattered clouds
137,Carutapera,BR,-1.195,-46.02,77.23,85,74,5.99,broken clouds
138,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,13.8,few clouds
139,Acapulco,MX,16.8634,-99.8901,79.86,68,54,7.25,broken clouds
140,Namibe,AO,-15.1961,12.1522,69.4,80,99,3.22,overcast clouds
141,Nouadhibou,MR,20.931,-17.0347,67.98,88,0,16.11,clear sky
142,Yar-Sale,RU,66.8333,70.8333,11.66,91,100,17.63,overcast clouds
143,Challans,FR,46.8436,-1.8749,37.96,64,100,20.22,overcast clouds
144,Hamilton,US,39.1834,-84.5333,44.44,72,75,6.91,broken clouds
145,Kaeo,NZ,-35.1,173.7833,75.49,66,100,5.32,overcast clouds
146,Hirara,JP,24.8,125.2833,73.26,94,75,16.11,broken clouds
147,Bozoum,CF,6.3193,16.3799,73.22,32,11,1.83,few clouds
148,Ilulissat,GL,69.2167,-51.1,25.21,96,100,11.56,snow
149,Mogadishu,SO,2.0371,45.3438,77.56,79,1,15.9,clear sky
150,Burnie,AU,-41.0667,145.9167,61.95,43,0,4.16,clear sky
151,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,66,12.66,light rain
152,Joue-Les-Tours,FR,47.3522,0.6691,34.14,69,100,8.05,overcast clouds
153,Portland,US,45.5234,-122.6762,48.52,68,75,5.99,broken clouds
154,Bandarbeyla,SO,9.4942,50.8122,75.15,75,0,15.84,clear sky
155,Jamestown,US,42.097,-79.2353,38.79,72,100,12.66,overcast clouds
156,Husavik,IS,66.0449,-17.3389,18.41,78,100,5.32,light snow
157,Port Keats,AU,-14.25,129.55,85.98,67,85,2.77,overcast clouds
158,Rio Grande,BR,-32.035,-52.0986,75.31,77,80,20.2,broken clouds
159,Namatanai,PG,-3.6667,152.4333,83.48,71,57,6.11,broken clouds
160,Shamary,RU,57.3434,58.2199,4.3,99,96,3.02,overcast clouds
161,Bandar-E Lengeh,IR,26.5579,54.8807,70.72,53,0,4.63,clear sky
162,Upata,VE,8.0086,-62.3989,75.2,92,77,4.34,broken clouds
163,Kununurra,AU,-15.7667,128.7333,84.18,74,92,4.61,overcast clouds
