City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
359,Kawalu,ID,72.21,-7.3817,108.2082,Hotel Surya
360,Mayumba,GA,77.25,-3.432,10.6554,Résidence Hôtelière Fabso
361,Gizo,SB,83.77,-8.103,156.8419,Gizo Hotel
362,Sambava,MG,74.84,-14.2667,50.1667,Royal Sava Hôtel
366,Axim,GH,78.82,4.8699,-2.2405,Axim Beach Hotel
369,Huarmey,PE,71.69,-10.0681,-78.1522,Hostal Santa Rosa
374,Abu Dhabi,AE,73.42,24.4667,54.3667,Marriott Downtown Abu-Dhabi
375,Ishigaki,JP,75.33,24.3448,124.1572,アートホテル石垣島
377,San Rafael,AR,82.78,-34.6177,-68.3301,Hotel Regional
378,Mackay,AU,86.68,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
379,Maroua,CM,75.81,10.591,14.3159,Hotel Venus
381,Palu,ID,76.01,-0.8917,119.8707,Ujung Pandang Hotel
384,Banjarmasin,ID,75.34,-3.3244,114.591,Hotel Grand Mentari
389,Honiara,SB,85.69,-9.4333,159.95,King Solomon Hotel
391,Kalmunai,LK,74.91,7.4167,81.8167,Saji new food
400,Hambantota,LK,74.1,6.1241,81.1185,Oasis Aurweda Resort Hambathota
409,Geraldton,AU,73.81,-28.7667,114.6,Ocean Centre Hotel
413,Bloemhof,ZA,71.37,-27.6469,25.607,Calimyn
414,Tabou,CI,78.51,4.423,-7.3528,hôtel le rochet
416,Kampot,KH,77.05,10.6167,104.1833,Sambor Sambat Guesthouse
418,Kahului,US,80.83,20.8947,-156.47,Maui Seaside Hotel
427,Angoche,MZ,77.56,-16.2325,39.9086,Hotel Quirimbas
437,Neiafu,TO,80.22,-18.65,-173.9833,Port Wine Guest House
440,Villa Carlos Paz,AR,81.9,-31.4241,-64.4978,Hoterl Victor
442,Praya,CV,75.0,14.9215,-23.5087,Casa Sodadi
